SAMPLE+gene	variant
PD11197a::RUNX1	1
PD11197a::SRSF2	1
PD11197a::TET2	1
PD11198a::BRAF	1
PD11198a::TET2	2
PD11199a::FLT3	1
PD11199a::MLL	1
PD11199a::PTPN11	1
PD11199a::TET2	1
PD11200a::TP53	1
PD11202a::DNMT3A	1
PD11202a::FLT3	1
PD11202a::IDH1	1
PD11202a::NPM1	1
PD11203a::FLT3	1
PD11203a::TET2	1
PD11204a::CEBPA	1
PD11204a::FLT3	1
PD11204a::RUNX1	1
PD11205a::RUNX1	1
PD11206a::BCOR	1
PD11206a::NPM1	1
PD11206a::PTPN11	1
PD11209a::ASXL1	1
PD11209a::NRAS	1
PD11209a::SRSF2	1
PD11211a::NRAS	1
PD11211a::TET2	1
PD11212a::FLT3	1
PD11212a::NPM1	1
PD11212a::TET2	1
PD11213a::TP53	2
PD11215a::TP53	2
PD11216a::FLT3	1
PD11216a::IDH2	1
PD11217a::DNMT3A	1
PD11217a::FLT3	1
PD11217a::NPM1	1
PD11217a::TET2	2
PD11218a::DNMT3A	1
PD11218a::NPM1	1
PD11218a::TET2	1
PD11219a::NRAS	1
PD11221a::CEBPA	1
PD11221a::FLT3	1
PD11221a::NPM1	1
PD11221a::STAG2	1
PD11221a::WT1	1
PD11222a::RUNX1	1
PD11223a::IDH1	1
PD11223a::TP53	1
PD11224a::RUNX1	2
PD11224a::SRSF2	1
PD11226a::IDH2	1
PD11226a::TP53	1
PD11227a::IDH1	1
PD11227a::PHF6	1
PD11227a::RUNX1	1
PD11227a::SRSF2	1
PD11229a::DNMT3A	1
PD11229a::IDH2	1
PD11229a::RUNX1	1
PD11230a::EZH2	1
PD11230a::FLT3	1
PD11230a::NRAS	1
PD11230a::RUNX1	1
PD11230a::STAG2	1
PD11230a::TET2	1
PD11231a::DNMT3A	1
PD11231a::FLT3	1
PD11231a::IDH2	1
PD11231a::KDM6A	1
PD11231a::NPM1	1
PD11231a::TET2	2
PD11232a::DNMT3A	1
PD11232a::FLT3	1
PD11232a::IDH1	1
PD11232a::MLL	1
PD11233a::CEBPA	1
PD11233a::FLT3	1
PD11233a::NPM1	1
PD11233a::TET2	2
PD11234a::CREBBP	1
PD11234a::DNMT3A	1
PD11236a::IDH2	1
PD11236a::PHF6	1
PD11236a::PTPN11	1
PD11237a::SF3B1	1
PD11238a::IDH1	1
PD11238a::MLL	1
PD11238a::MPL	1
PD11239a::FLT3	1
PD11240a::NPM1	1
PD11240a::SRSF2	1
PD11240a::TET2	2
PD11241a::ASXL1	1
PD11241a::STAG2	1
PD11241a::TET2	1
PD11241a::U2AF1	1
PD11242a::RUNX1	1
PD11242a::TET2	1
PD11243a::CBL	1
PD11243a::NPM1	1
PD11243a::SRSF2	1
PD11243a::TET2	2
PD11244a::FLT3	2
PD11244a::IDH2	1
PD11244a::NPM1	1
PD11244a::TET2	1
PD11245a::FLT3	1
PD11245a::NPM1	1
PD11245a::RAD21	1
PD11246a::ASXL1	1
PD11246a::FLT3	1
PD11246a::PHF6	1
PD11246a::RUNX1	1
PD11247a::DNMT3A	1
PD11247a::PTPN11	1
PD11247a::TP53	1
PD11248a::FLT3	1
PD11248a::NPM1	1
PD11248a::NRAS	1
PD11248a::RAD21	1
PD11249a::RUNX1	1
PD11249a::SRSF2	1
PD11250a::FLT3	1
PD11250a::NPM1	1
PD11250a::TET2	2
PD11251a::DNMT3A	2
PD11251a::IDH1	1
PD11251a::KIT	1
PD11251a::NRAS	1
PD11251a::RUNX1	1
PD11253a::IDH2	1
PD11254a::CBL	1
PD11254a::NPM1	1
PD11254a::TET2	1
PD11255a::ASXL1	1
PD11255a::RUNX1	1
PD11255a::SRSF2	1
